iter	RMSE
0	17.21661626
1	17.01373085
2	16.84727397
3	16.64971713
4	16.47325259
5	16.28660213
6	16.11766358
7	15.92645065
8	15.7716934
9	15.57275343
10	15.44815511
11	15.26629999
12	15.13913333
13	14.94966148
14	14.88761818
15	14.73335706
16	14.53360603
17	14.40032616
18	14.33490046
19	14.19051425
20	14.03944162
21	13.89146776
22	13.769934
23	13.66649772
24	13.53202407
25	13.4195335
26	13.25023933
27	13.1274296
28	12.98310552
29	12.83416037
30	12.67835108
31	12.54451641
32	12.420746
33	12.27605735
34	12.11676811
35	12.00262433
36	11.86666808
37	11.73490732
38	11.62363902
39	11.51322858
40	11.42648751
41	11.30039431
42	11.19684782
43	11.05090795
44	10.94530625
45	10.81943115
46	10.71376312
47	10.60732256
48	10.47279615
49	10.38927401
50	10.27110895
51	10.17357418
52	10.06559191
53	9.994858241
54	9.901016134
55	9.802246094
56	9.742481186
57	9.627231029
58	9.544267672
59	9.454738072
60	9.353162852
61	9.248396354
62	9.20822723
63	9.126983549
64	9.020880121
65	8.937493416
66	8.864825598
67	8.831937338
68	8.743486264
69	8.664540705
70	8.603041307
71	8.506423103
72	8.442439145
73	8.376361825
74	8.330142744
75	8.253275516
76	8.156813691
77	8.104957214
78	8.067911077
79	8.006756593
80	7.9381872
81	7.856787544
82	7.813658908
83	7.727130873
84	7.657129767
85	7.586613903
86	7.55574419
87	7.51402037
88	7.446690459
89	7.356790993
90	7.309350247
91	7.224981334
92	7.156478088
93	7.076702082
94	6.999213819
95	6.947094919
96	6.921026876
97	6.902072655
98	6.824192231
99	6.80990508
100	6.76865071
101	6.693578038
102	6.616312852
103	6.564814809
104	6.500332301
105	6.437183721
106	6.368753235
107	6.334379118
108	6.312304949
109	6.272735433
110	6.231486602
111	6.195354501
112	6.161155403
113	6.124327849
114	6.104850935
115	6.059967197
116	6.040675185
117	6.002094987
118	5.949738481
119	5.905986211
120	5.846085973
121	5.790174634
122	5.747813682
123	5.698150171
124	5.66446856
125	5.626236693
126	5.581977575
127	5.53476143
128	5.502218482
129	5.456255747
130	5.41196013
131	5.37394771
132	5.316258466
133	5.285152275
134	5.270629874
135	5.235287359
136	5.192091311
137	5.144179713
138	5.1100137
139	5.096150732
140	5.084800182
141	5.043358724
142	5.034511366
143	4.986976028
144	4.958418697
145	4.908487625
146	4.896583899
147	4.850602399
148	4.818749133
149	4.805144152
150	4.773817267
151	4.767457207
152	4.760053317
153	4.721216925
154	4.690244502
155	4.652350357
156	4.615664889
157	4.580585292
158	4.541746943
159	4.526171904
160	4.480387826
161	4.446351947
162	4.416789081
163	4.383781721
164	4.351042423
165	4.34284792
166	4.310218628
167	4.278486169
168	4.247293389
169	4.211876501
170	4.181371678
