iter	Passed	Remaining
0	53	53683
1	54	27008
2	54	18096
3	54	13674
4	55	11000
5	55	9205
6	55	7942
7	56	6975
8	56	6233
9	56	5639
10	57	5145
11	57	4756
12	58	4406
13	58	4106
14	61	4020
15	61	3784
16	62	3587
17	62	3405
18	62	3241
19	63	3099
20	63	2963
21	63	2838
22	64	2729
23	64	2626
24	65	2536
25	65	2446
26	65	2366
27	65	2290
28	66	2217
29	66	2150
30	66	2090
31	67	2031
32	67	1976
33	67	1924
34	68	1875
35	68	1830
36	68	1785
37	68	1744
38	69	1707
39	69	1669
40	69	1633
41	70	1600
42	70	1568
43	70	1538
44	71	1508
45	71	1478
46	71	1452
47	71	1427
48	72	1405
49	72	1383
50	73	1361
51	73	1343
52	75	1341
53	75	1321
54	75	1302
55	76	1282
56	76	1264
57	78	1277
58	79	1260
59	79	1245
60	79	1228
61	86	1301
62	86	1288
63	87	1274
64	87	1260
65	88	1250
66	88	1235
67	89	1222
68	89	1207
69	89	1193
70	90	1179
71	90	1168
72	90	1154
73	91	1141
74	91	1128
75	91	1117
76	92	1105
77	92	1096
78	93	1084
79	93	1074
80	93	1063
81	94	1052
82	94	1042
83	99	1080
84	99	1069
85	99	1059
86	99	1048
87	100	1039
88	100	1029
89	101	1021
90	101	1012
91	102	1009
92	102	1000
93	102	991
94	103	983
95	103	975
96	104	968
97	104	959
98	104	952
99	105	945
100	105	938
101	105	930
102	105	922
103	106	915
104	106	908
105	106	901
106	107	895
107	107	888
108	107	881
109	108	875
110	108	869
111	108	863
112	109	857
113	109	851
114	109	845
115	110	840
116	110	834
117	110	828
118	111	823
119	111	817
120	111	812
121	112	807
122	112	802
123	113	798
124	113	793
125	113	790
126	114	787
127	114	782
128	115	778
129	115	773
130	115	769
131	116	764
132	116	760
133	117	756
134	117	751
135	117	748
136	118	743
137	118	739
138	118	735
139	119	731
140	119	727
141	119	724
142	120	720
143	120	716
144	120	712
145	121	709
146	121	706
147	122	703
148	122	699
149	123	699
150	123	696
151	124	693
152	124	689
153	124	686
154	125	682
155	125	679
156	126	676
157	126	673
158	126	670
159	127	667
160	127	665
161	127	661
162	128	658
163	128	655
164	128	652
165	129	649
166	129	646
167	130	643
168	130	641
169	130	638
170	131	635
171	131	633
172	131	630
173	132	627
174	132	625
175	133	623
176	133	620
177	133	617
178	134	615
179	134	612
180	134	609
181	135	606
182	135	604
183	135	602
184	136	601
185	136	598
186	137	595
187	137	593
188	137	590
189	137	588
190	138	585
191	138	583
192	138	580
193	139	578
194	139	576
195	140	574
196	140	572
197	140	569
198	141	567
199	141	565
200	141	563
201	141	560
202	142	558
203	142	556
204	142	553
205	143	551
206	143	549
207	143	547
208	144	545
209	144	544
210	145	542
211	145	540
212	145	538
213	145	536
214	146	533
215	146	531
216	146	529
217	147	528
218	147	526
219	147	524
220	148	522
221	148	520
222	148	518
223	149	516
224	149	514
225	149	513
226	150	511
227	150	509
228	150	508
229	151	506
230	151	504
231	151	502
232	152	500
233	152	498
234	152	497
235	153	495
236	153	493
237	153	491
238	153	490
239	154	488
240	154	487
241	154	485
242	155	483
243	155	482
244	156	481
245	157	481
246	157	480
247	157	479
248	158	477
249	158	475
250	159	474
251	159	473
252	159	471
253	160	470
254	160	468
255	172	500
256	172	499
257	173	497
258	173	496
259	173	494
260	175	497
261	175	495
262	176	494
263	177	494
264	179	497
265	179	496
266	180	494
267	180	493
268	180	491
269	181	491
270	182	490
271	184	492
272	184	491
273	187	497
274	188	496
275	188	494
276	190	497
277	191	496
278	191	494
279	193	496
280	193	495
281	193	493
282	195	495
283	195	493
284	197	494
285	197	493
286	197	491
287	201	497
288	205	506
289	209	513
290	210	512
291	210	510
292	210	508
293	211	507
294	211	505
295	211	503
296	212	502
297	214	504
298	214	502
299	214	501
300	215	499
301	217	502
302	217	500
303	218	500
304	219	500
305	220	499
306	220	498
307	221	496
308	221	495
309	221	493
310	221	491
311	222	490
312	224	492
313	224	490
314	226	493
315	232	503
316	232	501
317	233	500
318	233	498
319	234	497
320	234	495
321	234	494
322	234	492
323	236	492
324	236	491
325	237	491
326	238	490
327	238	489
328	241	491
329	242	492
330	242	490
331	244	491
332	244	489
333	244	488
334	245	486
335	245	484
336	245	483
337	246	481
338	246	480
339	246	478
340	246	477
341	247	475
342	247	474
343	247	472
344	248	471
345	248	470
346	249	468
347	249	467
348	249	465
349	250	464
350	250	462
351	250	461
352	251	460
353	251	458
354	251	457
355	252	456
356	252	454
357	252	453
358	271	484
359	271	482
360	271	481
361	272	479
362	272	478
363	272	476
364	273	475
365	273	473
366	273	471
367	273	470
368	275	471
369	276	470
370	276	468
371	276	467
372	277	465
373	277	464
374	277	463
375	278	461
376	281	465
377	282	464
378	282	462
379	282	461
380	283	459
381	283	459
382	284	457
383	284	456
384	285	455
385	285	453
386	285	452
387	286	451
388	286	449
389	286	448
390	287	447
391	287	445
392	287	444
393	287	442
394	288	441
395	288	440
396	289	439
397	289	438
398	290	436
399	290	435
400	290	434
401	290	432
402	291	431
403	291	430
404	292	429
405	292	427
406	292	426
407	293	425
408	293	424
409	294	423
410	294	422
411	295	421
412	295	420
413	296	419
414	296	418
415	297	417
416	297	416
417	297	414
418	298	413
419	298	412
420	302	416
421	303	415
422	304	415
423	305	414
424	305	413
425	306	412
426	306	411
427	307	410
428	307	409
429	307	407
430	314	415
431	315	414
432	315	413
433	315	411
434	316	410
435	316	409
436	316	408
437	317	406
438	317	405
439	317	404
440	318	403
441	318	402
442	319	401
443	321	402
444	321	401
445	322	400
446	322	399
447	322	397
448	323	396
449	323	395
450	324	394
451	324	393
452	324	392
453	325	391
454	325	389
455	325	388
456	326	387
457	326	386
458	326	385
459	327	383
460	328	384
461	329	383
462	329	382
463	330	381
464	330	380
465	331	379
466	331	378
467	333	378
468	333	377
469	333	376
470	333	375
471	334	373
472	334	372
473	334	371
474	336	372
475	337	371
476	337	370
477	337	368
478	338	367
479	338	366
480	338	365
481	339	364
482	339	363
483	340	362
484	340	361
485	340	360
486	340	359
487	341	358
488	341	357
489	342	356
490	342	354
491	342	353
492	343	352
493	343	351
494	343	350
495	344	349
496	344	348
497	344	347
498	345	346
499	345	345
500	345	344
501	345	343
502	347	343
503	348	342
504	348	341
505	348	340
506	349	339
507	349	338
508	349	337
509	350	336
510	350	335
511	350	334
512	351	333
513	351	332
514	351	331
515	351	330
516	352	329
517	352	328
518	353	327
519	353	326
520	353	325
521	354	324
522	354	323
523	354	322
524	355	321
525	355	320
526	356	319
527	356	318
528	356	317
529	357	316
530	357	315
531	357	314
532	358	313
533	359	313
534	359	312
535	359	311
536	360	310
537	360	309
538	361	308
539	361	308
540	362	307
541	362	306
542	363	305
543	363	304
544	363	303
545	364	302
546	364	301
547	364	300
548	365	299
549	365	298
550	365	297
551	365	296
552	366	296
553	366	295
554	367	294
555	367	293
556	368	292
557	368	291
558	368	290
559	369	290
560	369	289
561	369	288
562	369	287
563	370	286
564	370	285
565	370	284
566	371	283
567	371	282
568	372	281
569	372	281
570	374	281
571	374	280
572	375	279
573	375	278
574	376	277
575	376	277
576	376	276
577	377	275
578	377	274
579	377	273
580	378	272
581	378	271
582	378	271
583	379	270
584	379	269
585	380	268
586	380	267
587	381	266
588	381	266
589	381	265
590	382	264
591	382	263
592	382	262
593	383	261
594	383	261
595	384	260
596	384	259
597	384	258
598	385	257
599	385	256
600	385	256
601	387	256
602	387	255
603	388	254
604	388	253
605	389	253
606	389	252
607	389	251
608	390	250
609	390	249
610	390	248
611	391	248
612	391	247
613	391	246
614	392	245
615	392	244
616	393	243
617	393	243
618	393	242
619	393	241
620	394	240
621	394	239
622	394	238
623	395	238
624	395	237
625	395	236
626	396	235
627	396	234
628	396	234
629	397	233
630	397	232
631	397	231
632	398	230
633	398	229
634	398	229
635	398	228
636	399	227
637	399	226
638	399	225
639	400	225
640	400	224
641	401	223
642	401	222
643	401	222
644	402	221
645	402	220
646	402	219
647	403	219
648	403	218
649	405	218
650	405	217
651	406	217
652	406	216
653	407	215
654	407	214
655	408	213
656	408	213
657	408	212
658	409	211
659	409	211
660	410	210
661	410	209
662	411	208
663	411	208
664	411	207
665	411	206
666	412	205
667	412	205
668	412	204
669	413	203
670	413	202
671	413	201
672	414	201
673	416	201
674	441	212
675	443	212
676	443	211
677	445	211
678	445	210
679	445	209
680	446	209
681	446	208
682	448	208
683	448	207
684	449	206
685	449	205
686	449	204
687	450	204
688	450	203
689	451	202
690	451	201
691	451	201
692	452	200
693	453	199
694	453	199
695	455	199
696	456	198
697	456	197
698	456	196
699	457	196
700	457	195
701	458	194
702	458	193
703	460	193
704	460	192
705	460	191
706	461	191
707	461	190
708	461	189
709	462	188
710	462	188
711	463	187
712	463	186
713	464	185
714	464	185
715	465	184
716	465	183
717	465	183
718	466	182
719	466	181
720	467	180
721	467	180
722	468	179
723	468	178
724	468	177
725	468	176
726	469	176
727	469	175
728	469	174
729	470	173
730	470	173
731	471	172
732	471	171
733	472	171
734	472	170
735	473	169
736	473	169
737	474	168
738	474	167
739	474	166
740	475	166
741	475	165
742	477	165
743	477	164
744	478	163
745	478	163
746	479	162
747	479	161
748	480	160
749	480	160
750	480	159
751	481	158
752	481	157
753	482	157
754	482	156
755	483	155
756	492	158
757	493	157
758	493	156
759	493	155
760	494	155
761	494	154
762	496	154
763	497	153
764	497	152
765	498	152
766	498	151
767	498	150
768	499	150
769	499	149
770	500	148
771	500	147
772	503	147
773	504	147
774	504	146
775	504	145
776	505	144
777	505	144
778	505	143
779	506	142
780	506	141
781	506	141
782	506	140
783	507	139
784	507	139
785	507	138
786	508	137
787	509	137
788	509	136
789	510	135
790	510	134
791	513	134
792	514	134
793	514	133
794	514	132
795	515	132
796	515	131
797	516	130
798	516	129
799	516	129
800	517	128
801	517	127
802	517	127
803	518	126
804	518	125
805	518	124
806	519	124
807	519	123
808	519	122
809	520	121
810	520	121
811	520	120
812	521	119
813	521	119
814	521	118
815	522	117
816	522	117
817	522	116
818	523	115
819	523	114
820	523	114
821	524	113
822	524	112
823	525	112
824	525	111
825	526	110
826	526	110
827	527	109
828	527	108
829	527	108
830	528	107
831	528	106
832	530	106
833	530	105
834	531	104
835	531	104
836	532	103
837	532	102
838	532	102
839	533	101
840	533	100
841	534	100
842	534	99
843	534	98
844	535	98
845	535	97
846	535	96
847	536	96
848	536	95
849	537	94
850	537	94
851	538	93
852	538	92
853	538	92
854	539	91
855	540	90
856	541	90
857	541	89
858	542	89
859	554	90
860	554	89
861	555	88
862	555	88
863	556	87
864	556	86
865	557	86
866	558	85
867	559	85
868	559	84
869	560	83
870	560	83
871	560	82
872	561	81
873	561	80
874	561	80
875	562	79
876	562	78
877	562	78
878	563	77
879	563	76
880	563	76
881	564	75
882	568	75
883	569	74
884	569	74
885	570	73
886	570	72
887	571	72
888	571	71
889	571	70
890	571	69
891	572	69
892	580	69
893	580	68
894	581	68
895	581	67
896	587	67
897	587	66
898	588	66
899	588	65
900	588	64
901	588	63
902	589	63
903	589	62
904	590	61
905	590	61
906	591	60
907	591	59
908	591	59
909	591	58
910	592	57
911	592	57
912	592	56
913	593	55
914	593	55
915	593	54
916	593	53
917	594	53
918	595	52
919	595	51
920	596	51
921	596	50
922	596	49
923	597	49
924	597	48
925	598	47
926	598	47
927	599	46
928	599	45
929	600	45
930	601	44
931	601	43
932	602	43
933	602	42
934	603	41
935	603	41
936	603	40
937	608	40
938	608	39
939	608	38
940	609	38
941	609	37
942	609	36
943	609	36
944	610	35
945	610	34
946	610	34
947	611	33
948	611	32
949	611	32
950	612	31
951	612	30
952	612	30
953	613	29
954	613	28
955	613	28
956	614	27
957	614	26
958	614	26
959	626	26
960	627	25
961	628	24
962	628	24
963	629	23
964	629	22
965	630	22
966	631	21
967	631	20
968	632	20
969	632	19
970	632	18
971	633	18
972	633	17
973	633	16
974	634	16
975	634	15
976	634	14
977	635	14
978	635	13
979	635	12
980	635	12
981	638	11
982	638	11
983	639	10
984	639	9
985	640	9
986	640	8
987	640	7
988	641	7
989	641	6
990	642	5
991	643	5
992	643	4
993	644	3
994	645	3
995	645	2
996	646	1
997	646	1
998	646	0
999	647	0
